paper_id,title,source_group,method_family,ara_engineered,level1_status,local_experiment_validation,comparison_role,production_status,next_action
2021_tra_lin,Learning Multiple Stock Trading Patterns with Temporal Routing Adaptor and Optimal Transport,paper_24_matrix,temporal_routing,yes,pass,complete,main_comparison,research_reference,manual Level 2 review before paper submission
2023_doubleadapt_zhao,DoubleAdapt: A Meta-learning Approach to Incremental Learning for Stock Trend Forecasting,paper_24_matrix,online_adaptation,yes,pass,complete,main_comparison,core_reference,keep as canonical adaptation baseline
2024_master_li,MASTER: Market-Guided Stock Transformer for Stock Price Forecasting,paper_24_matrix,market_context_transformer,yes,pass,complete,main_comparison,research_reference,compare context encoder against Lingxi market tags
2022_hist_xu,HIST: A Graph-based Framework for Stock Trend Forecasting via Mining Concept-Oriented Shared Information,paper_24_matrix,concept_graph,yes,pass,complete,main_comparison,research_reference,use as relational/graph reference
2022_thgnn_xiang,Temporal and Heterogeneous Graph Neural Network for Financial Time Series Prediction,paper_24_matrix,heterogeneous_graph,yes,pass,complete,secondary_comparison,research_reference,keep in graph-method appendix
2023_estimate_huynh,Efficient Integration of Multi-Order Dynamics and Internal Dynamics in Stock Movement Prediction,paper_24_matrix,multi_order_dynamics,yes,pass,complete,secondary_comparison,research_reference,keep in method registry
2024_alphaforge_shi,AlphaForge: A Framework to Mine and Dynamically Combine Formulaic Alpha Factors,paper_24_matrix,formula_alpha_mining,yes,pass,complete,main_comparison,research_reference,connect to agentic factor proposal loop
2026_alphaprobe_guo,AlphaPROBE: Alpha Mining via Principled Retrieval and On-graph biased evolution,paper_24_matrix,retrieval_evolution_alpha,yes,pass,complete,main_comparison,research_reference,connect to CASE candidate generator
2021_adarnn_du,AdaRNN: Adaptive Learning and Forecasting of Time Series,paper_24_matrix,domain_adaptation,yes,pass,complete,secondary_comparison,research_reference,use in nonstationarity discussion
2022_ddg_da_li,DDG-DA: Data Distribution Generation for Predictable Concept Drift Adaptation,paper_24_matrix,concept_drift,yes,pass,complete,secondary_comparison,research_reference,use in drift-adaptation related work
2021_tcts_wu,Temporally Correlated Task Scheduling for Sequence Learning,paper_24_matrix,multi_horizon_task_scheduling,yes,pass,complete,main_comparison,research_reference,keep as multi-horizon baseline
2025_rd_agent_quant_li,R&D-Agent-Quant: A Multi-Agent Framework for Data-Centric Factors and Model Joint Optimization,paper_24_matrix,agentic_quant_research,yes,pass,complete,main_comparison,core_reference,position as closest agentic quant prior
2022_factorvae_duan,FactorVAE: A Probabilistic Dynamic Factor Model Based on Variational Autoencoder for Predicting Cross-Sectional Stock Returns,paper_24_matrix,latent_factor_model,yes,pass,complete,secondary_comparison,research_reference,keep for factor-model appendix
2021_hatr_wang,Hierarchical Adaptive Temporal-Relational Modeling for Stock Trend Prediction,paper_24_matrix,temporal_relational_model,yes,pass,complete,secondary_comparison,research_reference,keep in relational baseline group
2022_alsp_tf_wang,Adaptive Long-Short Pattern Transformer for Stock Investment Selection,paper_24_matrix,long_short_pattern_transformer,yes,pass,complete,secondary_comparison,research_reference,keep as transformer baseline
2024_ci_sthpan_xia,CI-STHPAN: Pre-trained Attention Network for Stock Selection with Channel-Independent Spatio-Temporal Hypergraph,paper_24_matrix,spatiotemporal_hypergraph,yes,pass,complete,secondary_comparison,research_reference,keep in graph/attention appendix
2024_mdgnn_li,MDGNN: Multi-Relational Dynamic Graph Neural Network for Comprehensive and Dynamic Stock Investment Prediction,paper_24_matrix,dynamic_graph,yes,pass,complete,secondary_comparison,research_reference,keep in graph appendix
2021_deeptrader_wang,DeepTrader: A Deep Reinforcement Learning Approach for Risk-Return Balanced Portfolio Management with Market Conditions Embedding,paper_24_matrix,portfolio_rl,yes,pass,complete,rl_baseline,research_only,compare against conservative promotion gate
2019_alphastock_wang,AlphaStock: A Buying-Winners-and-Selling-Losers Investment Strategy using Interpretable Deep Reinforcement Attention Networks,paper_24_matrix,portfolio_rl_attention,yes,pass,complete,rl_baseline,research_only,keep as RL trading cautionary baseline
2020_doubleensemble_zhang,DoubleEnsemble: A New Ensemble Method Based on Sample Reweighting and Feature Selection for Financial Data Analysis,paper_24_matrix,ensemble_reweighting,yes,pass,complete,main_comparison,research_reference,compare to CASE promotion and gating
2024_diffsformer_gao,DiffsFormer: A Diffusion Transformer on Stock Factor Augmentation,paper_24_matrix,factor_augmentation,yes,pass,complete,secondary_comparison,research_reference,keep for feature augmentation discussion
2025_finmamba_hu,FinMamba: Market-Aware Graph Enhanced Multi-Level Mamba for Stock Movement Prediction,paper_24_matrix,mamba_graph,yes,pass,complete,secondary_comparison,research_reference,keep as modern sequence baseline
2024_lsr_igru_zhu,LSR-IGRU: Stock Trend Prediction Based on Long Short-Term Relationships and Improved GRU,paper_24_matrix,recurrent_long_short_relation,yes,pass,complete,secondary_comparison,research_reference,keep as RNN baseline
2025_timefilter_hu,TimeFilter: Patch-Specific Spatial-Temporal Graph Filtration for Time Series Forecasting,paper_24_matrix,patch_graph_filter,yes,pass,complete,secondary_comparison,research_reference,connect to patch/filtration upgrade ideas
2020_qlib_yang,Qlib: An AI-oriented Quantitative Investment Platform,expansion_only,quant_platform,yes,pass,complete,platform_reference,core_reference,use as implementation and benchmark platform reference
2025_alphaagent_tang,AlphaAgent: LLM-Driven Alpha Mining with Regularized Exploration to Counteract Alpha Decay,expansion_only,llm_alpha_mining,yes,pass,complete,agentic_baseline,research_reference,compare to CASE agent role boundaries
2025_cogalpha_liu,Cognitive Alpha Mining via LLM-Driven Code-Based Evolution,expansion_only,llm_code_evolution,yes,pass,complete,agentic_baseline,research_reference,compare to CASE candidate generator
2025_quantbench_wang,QuantBench: Benchmarking AI Methods for Quantitative Investment,expansion_only,quant_benchmark,yes,pass,complete,benchmark_reference,core_reference,use for benchmark framing
2025_fintsb,FinTSB: A Comprehensive and Practical Benchmark for Financial Time Series,expansion_only,financial_ts_benchmark,yes,pass,complete,benchmark_reference,core_reference,use for financial TS benchmark framing
2024_technical_indicator_impact,Assessing the Impact of Technical Indicators on Machine Learning Models for High-Frequency Stock Price Prediction,expansion_only,technical_indicator_ablation,yes,pass,complete,feature_reference,research_reference,use for TA feature ablation discussion
2025_tin,Technical Indicator Networks: An Interpretable Neural Approach,expansion_only,technical_indicator_network,yes,pass,complete,feature_reference,research_reference,use for interpretable TA module comparison
