dataset_id,name,used_by_candidate_ids,task_type,source_url,local_target,download_status,notes
ett_h1,ETTh1,2023_patchtst;2023_timesnet;2024_itransformer;2024_timemixer;2022_nonstationary_transformer;2022_fedformer;2023_dlinear,long_horizon_forecasting,https://raw.githubusercontent.com/zhouhaoyi/ETDataset/main/ETT-small/ETTh1.csv,data/external/time_series_sota/ett/ETTh1.csv,downloaded,Small public ETT benchmark file suitable for quick local comparison.
ett_h2,ETTh2,2023_patchtst;2023_timesnet;2024_itransformer;2024_timemixer;2022_nonstationary_transformer;2022_fedformer;2023_dlinear,long_horizon_forecasting,https://raw.githubusercontent.com/zhouhaoyi/ETDataset/main/ETT-small/ETTh2.csv,data/external/time_series_sota/ett/ETTh2.csv,downloaded,Small public ETT benchmark file suitable for quick local comparison.
ett_m1,ETTm1,2023_patchtst;2023_timesnet;2024_itransformer;2024_timemixer;2022_nonstationary_transformer;2022_fedformer;2023_dlinear,long_horizon_forecasting,https://raw.githubusercontent.com/zhouhaoyi/ETDataset/main/ETT-small/ETTm1.csv,data/external/time_series_sota/ett/ETTm1.csv,downloaded,Medium-frequency ETT benchmark; larger than hourly files but still practical.
ett_m2,ETTm2,2023_patchtst;2023_timesnet;2024_itransformer;2024_timemixer;2022_nonstationary_transformer;2022_fedformer;2023_dlinear,long_horizon_forecasting,https://raw.githubusercontent.com/zhouhaoyi/ETDataset/main/ETT-small/ETTm2.csv,data/external/time_series_sota/ett/ETTm2.csv,downloaded,Medium-frequency ETT benchmark; larger than hourly files but still practical.
weather,Weather,2023_patchtst;2023_timesnet;2024_itransformer;2024_timemixer;2022_nonstationary_transformer;2023_dlinear,long_horizon_forecasting,https://github.com/thuml/Time-Series-Library,not_downloaded,documented_only,Common LTSF benchmark; source repo documents acquisition but file size/licensing should be checked before vendoring.
electricity,Electricity,2023_patchtst;2023_timesnet;2024_itransformer;2024_timemixer;2022_fedformer;2023_dlinear,long_horizon_forecasting,https://github.com/thuml/Time-Series-Library,not_downloaded,documented_only,Common LTSF benchmark; typically larger than ETT.
traffic,Traffic,2023_patchtst;2023_timesnet;2024_itransformer;2024_timemixer;2022_fedformer;2023_dlinear,long_horizon_forecasting,https://github.com/thuml/Time-Series-Library,not_downloaded,documented_only,Large traffic benchmark; not pulled by default.
exchange_rate,Exchange Rate,2023_patchtst;2023_timesnet;2024_itransformer;2024_timemixer;2022_nonstationary_transformer;2023_dlinear,long_horizon_forecasting,https://github.com/thuml/Time-Series-Library,not_downloaded,documented_only,Small financial-like benchmark; candidate for a later download if source file URL is pinned.
ili,ILI,2023_patchtst;2023_timesnet;2024_itransformer;2022_nonstationary_transformer;2023_dlinear,long_horizon_forecasting,https://github.com/thuml/Time-Series-Library,not_downloaded,documented_only,Epidemiological benchmark; useful for non-finance regime shift comparison.
m4,M4,2023_nhits;2024_chronos;2024_moirai;2024_moment,forecasting_benchmark,https://github.com/Mcompetitions/M4-methods,not_downloaded,documented_only,Large competition benchmark; do not vendor until a focused reproduction needs it.
monash,Monash Time Series Forecasting Archive,2024_chronos;2024_moirai;2024_moment;2024_ttm,forecasting_archive,https://forecastingdata.org/,not_downloaded,documented_only,Broad archive used by foundation-model work; should be accessed through official tooling.
ucr_uea,UCR/UEA Time Series Classification Archive,2024_moment,classification_archive,https://www.timeseriesclassification.com/,not_downloaded,documented_only,Classification benchmark relevant to MOMENT but not directly comparable to Lingxi ranking.
pems,PEMS,2024_timemixer;2025_timemixerpp;2023_timesnet,traffic_forecasting,https://github.com/thuml/Time-Series-Library,not_downloaded,documented_only,Large spatial-temporal benchmark; not pulled by default.
